doc_type,meeting_date,avail_date,release_estimated,n_chars,lex_abg_hawk,lex_abg_dove,lex_abg_net,lex_abg_fomc_hawk,lex_abg_fomc_dove,lex_abg_fomc_net,emb_score,emb_coverage
statement,2011-04-27,2011-04-27,False,3063,0,0,0.0,1,3,-0.4,-0.04662864826994026,1.0
minutes,2011-04-27,2011-05-18,False,49740,13,3,0.5882352941176471,33,18,0.28846153846153844,-0.022588420804122232,1.0
statement,2011-06-22,2011-06-22,False,3010,1,0,0.5,1,2,-0.25,-0.040504768173155556,1.0
minutes,2011-06-22,2011-07-12,False,45285,12,6,0.3157894736842105,18,24,-0.13953488372093023,-0.025550506882694102,1.0
statement,2011-08-09,2011-08-09,False,3462,2,1,0.25,3,3,0.0,-0.036811079187114855,1.0
minutes,2011-08-09,2011-08-30,False,42680,10,10,0.0,18,22,-0.0975609756097561,-0.02778768278166644,1.0
statement,2011-09-21,2011-09-21,False,3978,2,1,0.25,3,3,0.0,-0.04768204836715058,1.0
minutes,2011-09-21,2011-10-12,False,52976,6,12,-0.3157894736842105,14,29,-0.3409090909090909,-0.024283886630246544,1.0
statement,2011-11-02,2011-11-02,False,3284,2,0,0.6666666666666666,4,2,0.2857142857142857,-0.053148285302635476,1.0
minutes,2011-11-02,2011-11-22,False,49027,7,6,0.07142857142857142,19,15,0.11428571428571428,-0.026788313660868854,1.0
statement,2011-12-13,2011-12-13,False,2927,2,0,0.6666666666666666,3,4,-0.125,-0.05590387629959453,1.0
minutes,2011-12-13,2012-01-03,False,49273,5,3,0.2222222222222222,9,21,-0.3870967741935484,-0.02737917792848872,1.0
statement,2012-01-25,2012-01-25,False,2828,2,0,0.6666666666666666,3,4,-0.125,-0.056556936569767596,1.0
minutes,2012-01-25,2012-02-15,False,70597,10,5,0.3125,22,33,-0.19642857142857142,-0.017527247831754498,1.0
statement,2012-03-13,2012-03-13,False,2891,2,0,0.6666666666666666,4,3,0.125,-0.04130740576324647,1.0
minutes,2012-03-13,2012-04-03,False,40577,12,1,0.7857142857142857,26,18,0.17777777777777778,-0.03407245399374234,1.0
statement,2012-04-25,2012-04-25,False,2942,3,0,0.75,5,2,0.375,-0.04887693109088561,1.0
minutes,2012-04-25,2012-05-16,False,46644,12,4,0.47058823529411764,30,17,0.2708333333333333,-0.0338740793759526,1.0
statement,2012-06-20,2012-06-20,False,3278,2,1,0.25,3,6,-0.3,-0.051266555172774106,1.0
minutes,2012-06-20,2012-07-11,False,50630,10,15,-0.19230769230769232,17,50,-0.4852941176470588,-0.03580489122417734,1.0
statement,2012-08-01,2012-08-01,False,3019,2,2,0.0,3,6,-0.3,-0.05359405327856495,1.0
minutes,2012-08-01,2012-08-22,False,45650,9,10,-0.05,15,28,-0.29545454545454547,-0.03529396614636152,1.0
